date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2015-10-03,83472.3579063,6101.0,49981900.0,0.678783,163326.0,26453.75,9.79164836446,
2015-10-04,190487.183799,6619.0,50556000.0,0.686343,103497.0,25480.15625,9.4319257859,
2015-10-05,109299.046995,6226.0,49131600.0,0.666784,234263.0,26136.875,11.4867735072,
2015-10-06,315241.251486,6440.0,45863300.0,0.622218,262674.0,25036.5625,9.99529995355,
2015-10-07,201786.955147,7100.0,47964700.0,0.650515,218327.0,26133.59375,12.1829899207,
2015-10-08,191033.831271,6912.0,44955900.0,0.609501,310266.0,26778.4375,11.9729333683,
2015-10-09,146902.618586,6751.0,48334900.0,0.655084,386420.0,25451.40625,11.3092183843,
2015-10-10,82385.5282663,6519.0,47325200.0,0.641187,141555.0,25499.6875,11.3828116171,
2015-10-11,95944.4205613,6011.0,46327500.0,0.627461,102128.0,26507.03125,8.99879459915,
2015-10-12,171873.574295,6527.0,46864200.0,0.634515,109567.0,26803.75,10.7038073208,
2015-10-13,258212.881885,6765.0,46395200.0,0.627943,303044.0,26668.28125,12.3232487996,
2015-10-14,607655.452607,6772.0,45250600.0,0.61224,971664.0,25875.625,11.8319985211,
2015-10-15,418401.416247,6424.0,38688300.0,0.523278,371022.0,25610.46875,18.8703438617,
2015-10-16,202601.855293,6748.0,41608900.0,0.562593,249891.0,25441.40625,21.1794465456,
2015-10-17,130246.016831,6508.0,39515900.0,0.534117,313860.0,26450.625,12.2914624458,
2015-10-18,99784.3085014,6442.0,40550400.0,0.547913,133690.0,25848.28125,13.1130126021,
2015-10-19,266430.637729,6550.0,38321300.0,0.517621,243742.0,25966.71875,11.6992191396,
2015-10-20,245597.151842,5867.0,36261200.0,0.489629,383921.0,26192.5,11.5270197988,
2015-10-21,300832.294689,6159.0,31973600.0,0.431589,609085.0,26046.40625,10.1558577347,
2015-10-22,275561.318135,5909.0,32977300.0,0.444988,924822.0,25330.78125,13.2005048379,
2015-10-23,437771.31856,6768.0,41986400.0,0.56637,878822.0,27554.84375,13.7479413918,
2015-10-24,53895.3027682,6234.0,40022100.0,0.539681,258356.0,27118.75,10.6966382172,
2015-10-25,147459.128473,5677.0,41781300.0,0.563207,635384.0,26814.21875,9.07951212616,
2015-10-26,443409.269032,5896.0,45991300.0,0.619743,1089120.0,25912.1875,10.7732671216,
2015-10-27,1342211.33689,6687.0,52624300.0,0.70889,1846370.0,27529.375,18.9028975784,
2015-10-28,853649.129646,7298.0,64676600.0,0.870938,2373050.0,26344.6875,10.8986966301,
2015-10-29,522938.908113,7793.0,74675600.0,1.01,2279240.0,27510.78125,12.55075174,
2015-10-30,1463340.70588,7842.0,89857400.0,1.21,2429200.0,27720.15625,13.4663216604,
2015-10-31,290238.780502,7499.0,77800300.0,1.05,673892.0,27751.5625,15.4824256005,
2015-11-01,134005.22157,6890.0,68477200.0,0.920847,588913.0,28180.15625,16.1702610684,
2015-11-02,373003.74475,6522.0,78701400.0,1.06,1145200.0,27134.21875,10.3960139727,
2015-11-03,591937.053045,7354.0,74010000.0,0.994568,1907690.0,27605.78125,12.2403509899,
2015-11-04,813332.073784,7004.0,75232400.0,1.01,3060340.0,27716.40625,9.39285695059,
2015-11-05,310000.094231,7440.0,67070700.0,0.900699,1179840.0,27291.40625,10.5938905244,
2015-11-06,848836.925319,7828.0,67397100.0,0.904772,913666.0,27422.1875,15.9362701566,
2015-11-07,393479.412685,10863.0,68833200.0,0.923732,890187.0,26715.3125,32.0799197933,
2015-11-08,821063.343566,12342.0,68254300.0,0.915661,1021460.0,27289.0625,29.5268788824,
2015-11-09,975381.900236,7656.0,76991800.0,1.03,2045290.0,27059.53125,11.2631029194,
2015-11-10,891132.50098,8061.0,74685300.0,1.0,854581.0,27444.0625,15.3511926283,
2015-11-11,283710.359877,10173.0,70236200.0,0.941296,1278580.0,27819.0625,23.0767913282,
2015-11-12,223759.794899,9500.0,59448700.0,0.796455,806156.0,28032.03125,25.8891012018,
2015-11-13,423125.551722,7830.0,67777000.0,0.907722,543671.0,28185.15625,14.5833024649,
2015-11-14,256807.219605,7187.0,67631900.0,0.905469,372514.0,28357.65625,18.5340335117,
2015-11-15,156460.678696,7138.0,66590200.0,0.891217,411848.0,28120.15625,11.4839740926,
2015-11-16,395085.846851,7407.0,67730700.0,0.906166,620945.0,27395.15625,10.2696359731,
2015-11-17,1070401.11434,7115.0,69157900.0,0.924948,1145440.0,27793.59375,9.59682965058,
2015-11-18,197659.989694,7330.0,74287700.0,0.993214,681104.0,27252.03125,10.3214753974,
2015-11-19,271338.021627,8834.0,73976100.0,0.988713,443528.0,26563.4375,15.8639395135,
2015-11-20,185962.014632,6328.0,71532500.0,0.955735,614335.0,25130.46875,11.9868992419,
2015-11-21,124541.311664,6780.0,69535300.0,0.928758,455976.0,26782.1875,11.2449100626,
2015-11-22,250851.889707,7053.0,73378800.0,0.979765,372173.0,26988.59375,11.2417153263,
2015-11-23,662337.864452,8205.0,72484200.0,0.967493,441875.0,27272.34375,13.3160847179,
