date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-08-09,1768137.01602,3649.0,54639500.0,2.71,0.0,29650.0,61.67711311,
2013-08-10,1256037.97695,3924.0,54201200.0,2.69,0.0,26100.0,96.93737535,
2013-08-11,864394.254258,3526.0,51564700.0,2.55,0.0,28550.0,38.29508554,
2013-08-12,1119771.38873,3585.0,54534200.0,2.69,0.0,30800.0,30.90630501,
2013-08-13,709932.221875,3757.0,53831200.0,2.66,0.0,30550.0,43.44187279,
2013-08-14,899195.022525,3439.0,56028000.0,2.76,0.0,30950.0,47.04429354,
2013-08-15,2007532.33659,4418.0,55615700.0,2.74,0.0,30250.0,65.36476337,
2013-08-16,821119.451238,3237.0,56243000.0,2.76,0.0,27350.0,39.03485153,
2013-08-17,3775977.56208,3252.0,55404000.0,2.72,0.0,27350.0,32.43420486,
2013-08-18,876334.926741,3242.0,57183000.0,2.8,0.0,27000.0,31.27157518,
2013-08-19,809012.323584,3888.0,57253600.0,2.8,0.0,29450.0,47.8305396,
2013-08-20,691845.142781,4099.0,57817600.0,2.82,0.0,30650.0,74.30567938,
2013-08-21,1498599.79859,4634.0,56892500.0,2.77,0.0,32500.0,55.4971912,
2013-08-22,748787.023724,4011.0,55332200.0,2.69,0.0,35050.0,33.59618566,
2013-08-23,1039845.87196,4010.0,57221800.0,2.78,0.0,28450.0,35.55258436,
2013-08-24,1257802.30772,4175.0,56421100.0,2.74,0.0,30750.0,60.27513311,
2013-08-25,1100530.96552,3961.0,55274700.0,2.68,0.0,25700.0,65.85871194,
2013-08-26,883541.848243,3613.0,53225200.0,2.58,0.0,27600.0,69.90371385,
2013-08-27,747676.877642,3815.0,53123200.0,2.57,0.0,25600.0,64.55793173,
2013-08-28,1206066.74268,3996.0,53333500.0,2.58,0.0,27300.0,49.13808723,
2013-08-29,651173.435414,3748.0,52612100.0,2.54,0.0,30550.0,34.81204444,
2013-08-30,709365.696627,3919.0,52649500.0,2.54,0.0,32750.0,42.32176589,
2013-08-31,748093.22015,3982.0,55259800.0,2.66,0.0,34900.0,35.04436966,
2013-09-01,711019.54057,3733.0,53981600.0,2.59,0.0,33900.0,37.59021039,
2013-09-02,617168.253516,3332.0,53667700.0,2.57,0.0,22900.0,33.62849804,
2013-09-03,545395.599378,3264.0,53347900.0,2.55,0.0,24800.0,38.07043341,
2013-09-04,1370259.2204,3761.0,54374100.0,2.6,0.0,22400.0,43.37309437,
2013-09-05,1035440.95708,3862.0,58978900.0,2.82,0.0,28100.0,53.81679147,
2013-09-06,1273782.50188,4120.0,58296100.0,2.78,0.0,36500.0,38.9955964,
2013-09-07,1214884.95455,4072.0,56314500.0,2.68,0.0,34750.0,46.60562763,
2013-09-08,787299.992428,3817.0,56907400.0,2.7,0.0,31550.0,33.55707454,
